Beginning output for all logs:
778:InfoPacket: Creating logger object 
980:WallMap: y 3: 720.0 
980:WallMap: x 0: 0 
980:WallMap: x 1: 10 
980:WallMap: x 2: 720.0 
980:WallMap: x 3: 720.0 
981:WallMap: y 0: 0 
981:WallMap: y 1: 10 
981:WallMap: y 2: 720.0 
981:WallMap: y 3: 720.0 
981:WallMap: x 0: 0 
981:WallMap: x 1: 10 
981:WallMap: x 2: 720.0 
982:WallMap: x 3: 720.0 
982:WallMap: y 0: 0 
982:WallMap: y 1: 10 
982:WallMap: y 2: 720.0 
982:WallMap: y 3: 720.0 
982:WallMap: x 0: 0 
982:WallMap: x 1: 10 
982:WallMap: x 2: 720.0 
983:WallMap: x 3: 720.0 
983:WallMap: y 0: 0 
983:WallMap: y 1: 10 
983:WallMap: y 2: 720.0 
983:WallMap: y 3: 720.0 
1018:Robot: State changed to: stop 
1018:WallMap: x 0: 0 
1018:WallMap: x 1: 10 
1019:WallMap: x 2: 720.0 
1019:WallMap: x 3: 720.0 
1019:WallMap: y 0: 0 
1019:WallMap: y 1: 10 
1019:WallMap: y 2: 720.0 
1019:WallMap: y 3: 720.0 
1019:WallMap: x 0: 0 
1019:WallMap: x 1: 10 
1020:WallMap: x 2: 720.0 
1020:WallMap: x 3: 720.0 
1020:WallMap: y 0: 0 
1020:WallMap: y 1: 10 
1020:WallMap: y 2: 720.0 
1020:WallMap: y 3: 720.0 
1020:WallMap: x 0: 0 
1021:WallMap: x 1: 10 
1021:WallMap: x 2: 720.0 
1021:WallMap: x 3: 720.0 
1021:WallMap: y 0: 0 
1021:WallMap: y 1: 10 
1021:WallMap: y 2: 720.0 
1021:WallMap: y 3: 720.0 
1021:WallMap: x 0: 0 
1021:WallMap: x 1: 10 
1022:WallMap: x 2: 720.0 
1022:WallMap: x 3: 720.0 
1022:WallMap: y 0: 0 
1022:WallMap: y 1: 10 
1022:WallMap: y 2: 720.0 
1022:WallMap: y 3: 720.0 
1022:WallMap: x 0: 0 
1022:WallMap: x 1: 10 
1023:WallMap: x 2: 720.0 
1023:WallMap: x 3: 720.0 
1023:WallMap: y 0: 0 
1023:WallMap: y 1: 10 
1023:WallMap: y 2: 720.0 
1023:WallMap: y 3: 720.0 
1027:Robot: State changed to: stop 
1027:WallMap: x 0: 0 
1027:WallMap: x 1: 10 
1028:WallMap: x 2: 720.0 
1028:WallMap: x 3: 720.0 
1028:WallMap: y 0: 0 
1028:WallMap: y 1: 10 
1028:WallMap: y 2: 720.0 
1028:WallMap: y 3: 720.0 
1029:WallMap: x 0: 0 
1029:WallMap: x 1: 10 
1029:WallMap: x 2: 720.0 
1029:WallMap: x 3: 720.0 
1029:WallMap: y 0: 0 
1029:WallMap: y 1: 10 
1029:WallMap: y 2: 720.0 
1029:WallMap: y 3: 720.0 
1030:WallMap: x 0: 0 
1030:WallMap: x 1: 10 
1030:WallMap: x 2: 720.0 
1030:WallMap: x 3: 720.0 
1030:WallMap: y 0: 0 
1031:WallMap: y 1: 10 
1031:WallMap: y 2: 720.0 
1031:WallMap: y 3: 720.0 
1031:WallMap: x 0: 0 
1031:WallMap: x 1: 10 
1031:WallMap: x 2: 720.0 
1031:WallMap: x 3: 720.0 
1031:WallMap: y 0: 0 
1032:WallMap: y 1: 10 
1032:WallMap: y 2: 720.0 
1032:WallMap: y 3: 720.0 
1032:WallMap: x 0: 0 
1032:WallMap: x 1: 10 
1032:WallMap: x 2: 720.0 
1032:WallMap: x 3: 720.0 
1032:WallMap: y 0: 0 
1032:WallMap: y 1: 10 
1033:WallMap: y 2: 720.0 
1033:WallMap: y 3: 720.0 
1037:Robot: State changed to: stop 
1037:WallMap: x 0: 0 
1037:WallMap: x 1: 10 
1037:WallMap: x 2: 720.0 
1037:WallMap: x 3: 720.0 
1038:WallMap: y 0: 0 
1038:WallMap: y 1: 10 
1038:WallMap: y 2: 720.0 
1038:WallMap: y 3: 720.0 
1038:WallMap: x 0: 0 
1038:WallMap: x 1: 10 
1038:WallMap: x 2: 720.0 
1038:WallMap: x 3: 720.0 
1039:WallMap: y 0: 0 
1039:WallMap: y 1: 10 
1039:WallMap: y 2: 720.0 
1039:WallMap: y 3: 720.0 
1039:WallMap: x 0: 0 
1039:WallMap: x 1: 10 
1039:WallMap: x 2: 720.0 
1039:WallMap: x 3: 720.0 
1040:WallMap: y 0: 0 
1040:WallMap: y 1: 10 
1040:WallMap: y 2: 720.0 
1040:WallMap: y 3: 720.0 
1040:WallMap: x 0: 0 
1040:WallMap: x 1: 10 
1041:WallMap: x 2: 720.0 
1041:WallMap: x 3: 720.0 
1041:WallMap: y 0: 0 
1041:WallMap: y 1: 10 
1041:WallMap: y 2: 720.0 
1041:WallMap: y 3: 720.0 
1041:WallMap: x 0: 0 
1042:WallMap: x 1: 10 
1042:WallMap: x 2: 720.0 
1042:WallMap: x 3: 720.0 
1042:WallMap: y 0: 0 
1042:WallMap: y 1: 10 
1042:WallMap: y 2: 720.0 
1042:WallMap: y 3: 720.0 
1042:WallMap: x 0: 0 
1043:WallMap: x 1: 10 
1043:WallMap: x 2: 720.0 
1043:WallMap: x 3: 720.0 
1043:WallMap: y 0: 0 
1043:WallMap: y 1: 10 
1043:WallMap: y 2: 720.0 
1043:WallMap: y 3: 720.0 
1051:Robot: State changed to: stop 
1052:WallMap: x 0: 0 
1052:WallMap: x 1: 10 
1052:WallMap: x 2: 720.0 
1052:WallMap: x 3: 720.0 
1052:WallMap: y 0: 0 
1052:WallMap: y 1: 10 
1052:WallMap: y 2: 720.0 
1052:WallMap: y 3: 720.0 
1052:WallMap: x 0: 0 
1053:WallMap: x 1: 10 
1053:WallMap: x 2: 720.0 
1053:WallMap: x 3: 720.0 
1053:WallMap: y 0: 0 
1053:WallMap: y 1: 10 
1053:WallMap: y 2: 720.0 
1053:WallMap: y 3: 720.0 
1054:WallMap: x 0: 0 
1054:WallMap: x 1: 10 
1054:WallMap: x 2: 720.0 
1054:WallMap: x 3: 720.0 
1054:WallMap: y 0: 0 
1054:WallMap: y 1: 10 
1054:WallMap: y 2: 720.0 
1054:WallMap: y 3: 720.0 
1055:WallMap: x 0: 0 
1055:WallMap: x 1: 10 
1055:WallMap: x 2: 720.0 
1055:WallMap: x 3: 720.0 
1055:WallMap: y 0: 0 
1055:WallMap: y 1: 10 
1055:WallMap: y 2: 720.0 
1056:WallMap: y 3: 720.0 
1056:WallMap: x 0: 0 
1056:WallMap: x 1: 10 
1056:WallMap: x 2: 720.0 
1056:WallMap: x 3: 720.0 
1057:WallMap: y 0: 0 
1057:WallMap: y 1: 10 
1057:WallMap: y 2: 720.0 
1057:WallMap: y 3: 720.0 
1057:WallMap: x 0: 0 
1058:WallMap: x 1: 10 
1058:WallMap: x 2: 720.0 
1058:WallMap: x 3: 720.0 
1058:WallMap: y 0: 0 
1059:WallMap: y 1: 10 
1059:WallMap: y 2: 720.0 
1059:WallMap: y 3: 720.0 
1065:Robot: State changed to: stop 
1066:WallMap: x 0: 0 
1066:WallMap: x 1: 10 
1066:WallMap: x 2: 720.0 
1066:WallMap: x 3: 720.0 
1066:WallMap: y 0: 0 
1066:WallMap: y 1: 10 
1067:WallMap: y 2: 720.0 
1067:WallMap: y 3: 720.0 
1067:WallMap: x 0: 0 
1067:WallMap: x 1: 10 
1067:WallMap: x 2: 720.0 
1067:WallMap: x 3: 720.0 
1067:WallMap: y 0: 0 
1068:WallMap: y 1: 10 
1068:WallMap: y 2: 720.0 
1068:WallMap: y 3: 720.0 
1068:WallMap: x 0: 0 
1068:WallMap: x 1: 10 
1068:WallMap: x 2: 720.0 
1069:WallMap: x 3: 720.0 
1069:WallMap: y 0: 0 
1069:WallMap: y 1: 10 
1069:WallMap: y 2: 720.0 
1069:WallMap: y 3: 720.0 
1069:WallMap: x 0: 0 
1069:WallMap: x 1: 10 
1070:WallMap: x 2: 720.0 
1070:WallMap: x 3: 720.0 
1070:WallMap: y 0: 0 
1070:WallMap: y 1: 10 
1070:WallMap: y 2: 720.0 
1070:WallMap: y 3: 720.0 
1070:WallMap: x 0: 0 
1071:WallMap: x 1: 10 
1071:WallMap: x 2: 720.0 
1071:WallMap: x 3: 720.0 
1071:WallMap: y 0: 0 
1071:WallMap: y 1: 10 
1071:WallMap: y 2: 720.0 
1071:WallMap: y 3: 720.0 
1072:WallMap: x 0: 0 
1072:WallMap: x 1: 10 
1072:WallMap: x 2: 720.0 
1072:WallMap: x 3: 720.0 
1072:WallMap: y 0: 0 
1072:WallMap: y 1: 10 
1072:WallMap: y 2: 720.0 
1073:WallMap: y 3: 720.0 
1073:WallMap: x 0: 0 
1073:WallMap: x 1: 10 
1073:WallMap: x 2: 720.0 
1073:WallMap: x 3: 720.0 
1074:WallMap: y 0: 0 
1074:WallMap: y 1: 10 
1074:WallMap: y 2: 720.0 
1074:WallMap: y 3: 720.0 
1080:Robot: State changed to: stop 
1081:WallMap: x 0: 0 
1081:WallMap: x 1: 10 
1081:WallMap: x 2: 720.0 
1081:WallMap: x 3: 720.0 
1081:WallMap: y 0: 0 
1082:WallMap: y 1: 10 
1082:WallMap: y 2: 720.0 
1082:WallMap: y 3: 720.0 
1082:WallMap: x 0: 0 
1082:WallMap: x 1: 10 
1082:WallMap: x 2: 720.0 
1083:WallMap: x 3: 720.0 
1083:WallMap: y 0: 0 
1083:WallMap: y 1: 10 
1083:WallMap: y 2: 720.0 
1083:WallMap: y 3: 720.0 
1083:WallMap: x 0: 0 
1083:WallMap: x 1: 10 
1083:WallMap: x 2: 720.0 
1084:WallMap: x 3: 720.0 
1084:WallMap: y 0: 0 
1084:WallMap: y 1: 10 
1084:WallMap: y 2: 720.0 
1084:WallMap: y 3: 720.0 
1084:WallMap: x 0: 0 
1084:WallMap: x 1: 10 
1084:WallMap: x 2: 720.0 
1084:WallMap: x 3: 720.0 
1084:WallMap: y 0: 0 
1085:WallMap: y 1: 10 
1085:WallMap: y 2: 720.0 
1085:WallMap: y 3: 720.0 
1085:WallMap: x 0: 0 
1085:WallMap: x 1: 10 
1085:WallMap: x 2: 720.0 
1085:WallMap: x 3: 720.0 
1085:WallMap: y 0: 0 
1085:WallMap: y 1: 10 
1085:WallMap: y 2: 720.0 
1086:WallMap: y 3: 720.0 
1086:WallMap: x 0: 0 
1086:WallMap: x 1: 10 
1086:WallMap: x 2: 720.0 
1086:WallMap: x 3: 720.0 
1086:WallMap: y 0: 0 
1086:WallMap: y 1: 10 
1086:WallMap: y 2: 720.0 
1086:WallMap: y 3: 720.0 
1086:WallMap: x 0: 0 
1087:WallMap: x 1: 10 
1087:WallMap: x 2: 720.0 
1087:WallMap: x 3: 720.0 
1087:WallMap: y 0: 0 
1087:WallMap: y 1: 10 
1087:WallMap: y 2: 720.0 
1087:WallMap: y 3: 720.0 
1093:Robot: State changed to: stop 
1094:WallMap: x 0: 0 
1094:WallMap: x 1: 10 
1094:WallMap: x 2: 720.0 
1095:WallMap: x 3: 720.0 
1095:WallMap: y 0: 0 
1095:WallMap: y 1: 10 
1095:WallMap: y 2: 720.0 
1095:WallMap: y 3: 720.0 
1095:WallMap: x 0: 0 
1096:WallMap: x 1: 10 
1096:WallMap: x 2: 720.0 
1096:WallMap: x 3: 720.0 
1096:WallMap: y 0: 0 
1096:WallMap: y 1: 10 
1096:WallMap: y 2: 720.0 
1096:WallMap: y 3: 720.0 
1097:WallMap: x 0: 0 
1097:WallMap: x 1: 10 
1097:WallMap: x 2: 720.0 
1097:WallMap: x 3: 720.0 
1097:WallMap: y 0: 0 
1097:WallMap: y 1: 10 
1098:WallMap: y 2: 720.0 
1098:WallMap: y 3: 720.0 
1098:WallMap: x 0: 0 
1098:WallMap: x 1: 10 
1098:WallMap: x 2: 720.0 
1099:WallMap: x 3: 720.0 
1099:WallMap: y 0: 0 
1099:WallMap: y 1: 10 
1099:WallMap: y 2: 720.0 
1099:WallMap: y 3: 720.0 
1100:WallMap: x 0: 0 
1100:WallMap: x 1: 10 
1100:WallMap: x 2: 720.0 
1100:WallMap: x 3: 720.0 
1100:WallMap: y 0: 0 
1100:WallMap: y 1: 10 
1101:WallMap: y 2: 720.0 
1101:WallMap: y 3: 720.0 
1101:WallMap: x 0: 0 
1101:WallMap: x 1: 10 
1101:WallMap: x 2: 720.0 
1102:WallMap: x 3: 720.0 
1102:WallMap: y 0: 0 
1102:WallMap: y 1: 10 
1102:WallMap: y 2: 720.0 
1102:WallMap: y 3: 720.0 
1102:WallMap: x 0: 0 
1102:WallMap: x 1: 10 
1103:WallMap: x 2: 720.0 
1103:WallMap: x 3: 720.0 
1103:WallMap: y 0: 0 
1103:WallMap: y 1: 10 
1103:WallMap: y 2: 720.0 
1103:WallMap: y 3: 720.0 
1103:WallMap: x 0: 0 
1104:WallMap: x 1: 10 
1104:WallMap: x 2: 720.0 
1104:WallMap: x 3: 720.0 
1104:WallMap: y 0: 0 
1104:WallMap: y 1: 10 
1104:WallMap: y 2: 720.0 
1104:WallMap: y 3: 720.0 
1109:Robot: State changed to: stop 
1109:WallMap: x 0: 0 
1109:WallMap: x 1: 10 
1110:WallMap: x 2: 720.0 
1110:WallMap: x 3: 720.0 
1110:WallMap: y 0: 0 
1110:WallMap: y 1: 10 
1110:WallMap: y 2: 720.0 
1110:WallMap: y 3: 720.0 
1111:WallMap: x 0: 0 
1111:WallMap: x 1: 10 
1111:WallMap: x 2: 720.0 
1112:WallMap: x 3: 720.0 
1112:WallMap: y 0: 0 
1112:WallMap: y 1: 10 
1112:WallMap: y 2: 720.0 
1112:WallMap: y 3: 720.0 
1112:WallMap: x 0: 0 
1112:WallMap: x 1: 10 
1113:WallMap: x 2: 720.0 
1113:WallMap: x 3: 720.0 
1113:WallMap: y 0: 0 
1113:WallMap: y 1: 10 
1114:WallMap: y 2: 720.0 
1114:WallMap: y 3: 720.0 
1114:WallMap: x 0: 0 
1114:WallMap: x 1: 10 
1114:WallMap: x 2: 720.0 
1115:WallMap: x 3: 720.0 
1115:WallMap: y 0: 0 
1115:WallMap: y 1: 10 
1115:WallMap: y 2: 720.0 
1115:WallMap: y 3: 720.0 
1115:WallMap: x 0: 0 
1115:WallMap: x 1: 10 
1115:WallMap: x 2: 720.0 
1116:WallMap: x 3: 720.0 
1116:WallMap: y 0: 0 
1116:WallMap: y 1: 10 
1116:WallMap: y 2: 720.0 
1116:WallMap: y 3: 720.0 
1116:WallMap: x 0: 0 
1116:WallMap: x 1: 10 
1116:WallMap: x 2: 720.0 
1117:WallMap: x 3: 720.0 
1117:WallMap: y 0: 0 
1117:WallMap: y 1: 10 
1117:WallMap: y 2: 720.0 
1117:WallMap: y 3: 720.0 
1117:WallMap: x 0: 0 
1117:WallMap: x 1: 10 
1117:WallMap: x 2: 720.0 
1117:WallMap: x 3: 720.0 
1118:WallMap: y 0: 0 
1118:WallMap: y 1: 10 
1118:WallMap: y 2: 720.0 
1118:WallMap: y 3: 720.0 
1118:WallMap: x 0: 0 
1118:WallMap: x 1: 10 
1118:WallMap: x 2: 720.0 
1118:WallMap: x 3: 720.0 
1118:WallMap: y 0: 0 
1119:WallMap: y 1: 10 
1119:WallMap: y 2: 720.0 
1119:WallMap: y 3: 720.0 
1126:Robot: State changed to: stop 
1126:WallMap: x 0: 0 
1127:WallMap: x 1: 10 
1127:WallMap: x 2: 720.0 
1127:WallMap: x 3: 720.0 
1127:WallMap: y 0: 0 
1127:WallMap: y 1: 10 
1128:WallMap: y 2: 720.0 
1128:WallMap: y 3: 720.0 
1128:WallMap: x 0: 0 
1128:WallMap: x 1: 10 
1129:WallMap: x 2: 720.0 
1129:WallMap: x 3: 720.0 
1129:WallMap: y 0: 0 
1129:WallMap: y 1: 10 
1129:WallMap: y 2: 720.0 
1129:WallMap: y 3: 720.0 
1129:WallMap: x 0: 0 
1130:WallMap: x 1: 10 
1130:WallMap: x 2: 720.0 
1130:WallMap: x 3: 720.0 
1130:WallMap: y 0: 0 
1130:WallMap: y 1: 10 
1130:WallMap: y 2: 720.0 
1130:WallMap: y 3: 720.0 
1131:WallMap: x 0: 0 
1131:WallMap: x 1: 10 
1131:WallMap: x 2: 720.0 
1131:WallMap: x 3: 720.0 
1131:WallMap: y 0: 0 
1131:WallMap: y 1: 10 
1132:WallMap: y 2: 720.0 
1132:WallMap: y 3: 720.0 
1132:WallMap: x 0: 0 
1132:WallMap: x 1: 10 
1132:WallMap: x 2: 720.0 
1132:WallMap: x 3: 720.0 
1132:WallMap: y 0: 0 
1132:WallMap: y 1: 10 
1132:WallMap: y 2: 720.0 
1132:WallMap: y 3: 720.0 
1133:WallMap: x 0: 0 
1133:WallMap: x 1: 10 
1133:WallMap: x 2: 720.0 
1133:WallMap: x 3: 720.0 
1133:WallMap: y 0: 0 
1133:WallMap: y 1: 10 
1134:WallMap: y 2: 720.0 
1134:WallMap: y 3: 720.0 
1134:WallMap: x 0: 0 
1134:WallMap: x 1: 10 
1134:WallMap: x 2: 720.0 
1134:WallMap: x 3: 720.0 
1134:WallMap: y 0: 0 
1134:WallMap: y 1: 10 
1134:WallMap: y 2: 720.0 
1135:WallMap: y 3: 720.0 
1135:WallMap: x 0: 0 
1135:WallMap: x 1: 10 
1135:WallMap: x 2: 720.0 
1135:WallMap: x 3: 720.0 
1135:WallMap: y 0: 0 
1135:WallMap: y 1: 10 
1135:WallMap: y 2: 720.0 
1135:WallMap: y 3: 720.0 
1136:WallMap: x 0: 0 
1136:WallMap: x 1: 10 
1136:WallMap: x 2: 720.0 
1136:WallMap: x 3: 720.0 
1136:WallMap: y 0: 0 
1136:WallMap: y 1: 10 
1136:WallMap: y 2: 720.0 
1136:WallMap: y 3: 720.0 
1142:Robot: State changed to: stop 
1143:WallMap: x 0: 0 
1143:WallMap: x 1: 10 
1143:WallMap: x 2: 720.0 
1143:WallMap: x 3: 720.0 
1143:WallMap: y 0: 0 
1144:WallMap: y 1: 10 
1144:WallMap: y 2: 720.0 
1144:WallMap: y 3: 720.0 
1144:WallMap: x 0: 0 
1145:WallMap: x 1: 10 
1145:WallMap: x 2: 720.0 
1145:WallMap: x 3: 720.0 
1145:WallMap: y 0: 0 
1145:WallMap: y 1: 10 
1145:WallMap: y 2: 720.0 
1145:WallMap: y 3: 720.0 
1146:WallMap: x 0: 0 
1146:WallMap: x 1: 10 
1146:WallMap: x 2: 720.0 
1146:WallMap: x 3: 720.0 
1146:WallMap: y 0: 0 
1146:WallMap: y 1: 10 
1146:WallMap: y 2: 720.0 
1147:WallMap: y 3: 720.0 
1147:WallMap: x 0: 0 
1147:WallMap: x 1: 10 
1147:WallMap: x 2: 720.0 
1147:WallMap: x 3: 720.0 
1147:WallMap: y 0: 0 
1148:WallMap: y 1: 10 
1148:WallMap: y 2: 720.0 
1148:WallMap: y 3: 720.0 
1148:WallMap: x 0: 0 
1148:WallMap: x 1: 10 
1148:WallMap: x 2: 720.0 
1149:WallMap: x 3: 720.0 
1149:WallMap: y 0: 0 
1149:WallMap: y 1: 10 
1149:WallMap: y 2: 720.0 
1149:WallMap: y 3: 720.0 
1149:WallMap: x 0: 0 
1150:WallMap: x 1: 10 
1150:WallMap: x 2: 720.0 
1150:WallMap: x 3: 720.0 
1150:WallMap: y 0: 0 
1150:WallMap: y 1: 10 
1150:WallMap: y 2: 720.0 
1150:WallMap: y 3: 720.0 
1151:WallMap: x 0: 0 
1151:WallMap: x 1: 10 
1151:WallMap: x 2: 720.0 
1151:WallMap: x 3: 720.0 
1151:WallMap: y 0: 0 
1151:WallMap: y 1: 10 
1151:WallMap: y 2: 720.0 
1152:WallMap: y 3: 720.0 
1152:WallMap: x 0: 0 
1152:WallMap: x 1: 10 
1152:WallMap: x 2: 720.0 
1152:WallMap: x 3: 720.0 
1152:WallMap: y 0: 0 
1153:WallMap: y 1: 10 
1153:WallMap: y 2: 720.0 
1153:WallMap: y 3: 720.0 
1153:WallMap: x 0: 0 
1153:WallMap: x 1: 10 
1153:WallMap: x 2: 720.0 
1154:WallMap: x 3: 720.0 
1154:WallMap: y 0: 0 
1154:WallMap: y 1: 10 
1154:WallMap: y 2: 720.0 
1154:WallMap: y 3: 720.0 
1165:Robot: State changed to: stop 
1165:WallMap: x 0: 0 
1165:WallMap: x 1: 10 
1165:WallMap: x 2: 720.0 
1166:WallMap: x 3: 720.0 
1166:WallMap: y 0: 0 
1166:WallMap: y 1: 10 
1166:WallMap: y 2: 720.0 
1166:WallMap: y 3: 720.0 
1166:WallMap: x 0: 0 
1166:WallMap: x 1: 10 
1167:WallMap: x 2: 720.0 
1167:WallMap: x 3: 720.0 
1167:WallMap: y 0: 0 
1167:WallMap: y 1: 10 
1167:WallMap: y 2: 720.0 
1167:WallMap: y 3: 720.0 
1168:WallMap: x 0: 0 
1168:WallMap: x 1: 10 
1168:WallMap: x 2: 720.0 
1168:WallMap: x 3: 720.0 
1168:WallMap: y 0: 0 
1168:WallMap: y 1: 10 
1168:WallMap: y 2: 720.0 
1168:WallMap: y 3: 720.0 
1169:WallMap: x 0: 0 
1169:WallMap: x 1: 10 
1169:WallMap: x 2: 720.0 
1169:WallMap: x 3: 720.0 
1169:WallMap: y 0: 0 
1169:WallMap: y 1: 10 
1169:WallMap: y 2: 720.0 
1169:WallMap: y 3: 720.0 
1170:WallMap: x 0: 0 
1170:WallMap: x 1: 10 
1170:WallMap: x 2: 720.0 
1170:WallMap: x 3: 720.0 
1170:WallMap: y 0: 0 
1170:WallMap: y 1: 10 
1170:WallMap: y 2: 720.0 
1170:WallMap: y 3: 720.0 
1171:WallMap: x 0: 0 
1171:WallMap: x 1: 10 
1171:WallMap: x 2: 720.0 
1171:WallMap: x 3: 720.0 
1171:WallMap: y 0: 0 
1171:WallMap: y 1: 10 
1171:WallMap: y 2: 720.0 
1171:WallMap: y 3: 720.0 
1172:WallMap: x 0: 0 
1172:WallMap: x 1: 10 
1172:WallMap: x 2: 720.0 
1172:WallMap: x 3: 720.0 
1172:WallMap: y 0: 0 
1172:WallMap: y 1: 10 
1172:WallMap: y 2: 720.0 
1172:WallMap: y 3: 720.0 
1173:WallMap: x 0: 0 
1173:WallMap: x 1: 10 
1173:WallMap: x 2: 720.0 
1173:WallMap: x 3: 720.0 
1173:WallMap: y 0: 0 
1173:WallMap: y 1: 10 
1173:WallMap: y 2: 720.0 
1174:WallMap: y 3: 720.0 
1174:WallMap: x 0: 0 
1174:WallMap: x 1: 10 
1174:WallMap: x 2: 720.0 
1174:WallMap: x 3: 720.0 
1174:WallMap: y 0: 0 
1175:WallMap: y 1: 10 
1175:WallMap: y 2: 720.0 
1175:WallMap: y 3: 720.0 
1175:WallMap: x 0: 0 
1175:WallMap: x 1: 10 
1175:WallMap: x 2: 720.0 
1175:WallMap: x 3: 720.0 
1176:WallMap: y 0: 0 
1176:WallMap: y 1: 10 
1176:WallMap: y 2: 720.0 
1176:WallMap: y 3: 720.0 
1183:Robot: State changed to: stop 
1184:WallMap: x 0: 0 
1184:WallMap: x 1: 10 
1184:WallMap: x 2: 720.0 
1184:WallMap: x 3: 720.0 
1184:WallMap: y 0: 0 
1185:WallMap: y 1: 10 
1185:WallMap: y 2: 720.0 
1185:WallMap: y 3: 720.0 
1185:WallMap: x 0: 0 
1185:WallMap: x 1: 10 
